,Cause,Effect,EffectSize,CauseDirection
69,X141,BMI,5.647608980715943,Negative
70,X170,BMI,5.647624506296473,Negative
71,Z18,BMI,6.22087338860211,Negative
72,X181,BMI,5.647767668680223,Negative
73,X205,BMI,5.648403875417289,Negative
74,X210,BMI,5.647603889675127,Negative
75,Z22,BMI,6.057240209629587,Positive
76,Z45,BMI,6.169370527796633,Negative
77,X58,BMI,5.647626982922579,Positive
78,Z54,BMI,5.878569090292754,Negative
79,X36,BMI,5.647914332496499,Negative
80,Z66,BMI,6.206212779662092,Positive
81,X113,BMI,5.647598367882553,Negative
82,X142,BMI,5.647590068535833,Positive
83,X20,BMI,5.648336685588071,Negative
84,X47,BMI,5.647590248246099,Positive
85,X37,BMI,5.64767101984022,Positive
86,X66,BMI,5.647599327865594,Negative
87,X211,BMI,5.64787493753321,Negative
88,Z16,BMI,6.183689983399005,Negative
89,X146,BMI,5.6475905683852465,Positive
90,Z5,BMI,6.237901399538129,Positive
91,X48,BMI,5.647580590189218,Positive
92,X42,BMI,5.649972429836981,Positive
93,Z19,BMI,6.333759176771172,Positive
94,X191,BMI,5.648365570630802,Negative
95,Z40,BMI,6.01726452237104,Negative
96,Z75,BMI,6.345670524903342,Positive
97,X131,BMI,5.647944395020566,Negative
98,Z43,BMI,6.269806491138187,Positive
99,Z72,BMI,6.100904005611254,Positive
100,X76,BMI,5.647586387547907,Negative
101,X171,BMI,5.647686499265478,Negative
102,X194,BMI,5.648074899248068,Negative
103,X186,BMI,5.647809642971434,Negative
104,X87,BMI,5.64785655884165,Negative
105,X23,BMI,5.647771649311158,Positive
106,X96,BMI,5.648506574052318,Negative
107,Z62,BMI,6.049444728095416,Positive
108,X31,BMI,5.6499192396069455,Negative
109,X190,BMI,5.647652734782289,Negative
110,Z30,BMI,5.665069223708988,Negative
111,Z51,BMI,6.208564318437663,Positive
112,X32,BMI,5.648416558928517,Negative
113,X187,BMI,5.647578775039265,Negative
114,X145,BMI,5.648417250471662,Negative
115,X115,BMI,5.647579183361913,Negative
116,X153,BMI,5.64764529842855,Negative
117,X156,BMI,5.64758308906106,Negative
118,X43,BMI,5.648146499629931,Negative
119,X3,BMI,5.647820697285444,Positive
120,X50,BMI,5.647633026189297,Negative
121,X86,BMI,5.648329338547573,Negative
122,X103,BMI,5.647598065251845,Positive
123,X152,BMI,5.648587982868911,Positive
124,X154,BMI,5.6476134145834544,Positive
125,Z7,BMI,6.20587295606827,Positive
126,X148,BMI,5.647597880226164,Negative
127,X202,BMI,5.647852992059535,Negative
128,Z47,BMI,6.326827062610914,Positive
129,X134,BMI,5.648847135269223,Negative
130,X173,BMI,5.648301290359014,Negative
131,X70,BMI,5.648039790567896,Negative
132,Z77,BMI,5.647760286460472,Negative
133,X59,BMI,5.647878446568232,Negative
134,X151,BMI,5.648007217217304,Negative
135,Z61,BMI,5.702425070530064,Positive
136,Z65,BMI,5.674732966145471,Negative
137,X168,BMI,5.6477470992796555,Positive
138,X209,BMI,5.647808861241212,Negative
139,Z85,BMI,6.254026026248149,Positive
140,X164,BMI,5.648055273672512,Negative
141,X172,BMI,5.649042400706794,Negative
142,Z11,BMI,5.935961955802232,Negative
143,X140,BMI,5.647732064930233,Negative
144,X196,BMI,5.6485471476758535,Negative
145,X22,BMI,5.648264241969611,Negative
146,X21,BMI,5.648805930437184,Negative
147,X197,BMI,5.648868427862294,Negative
148,Z10,BMI,5.748369565457986,Negative
149,X120,BMI,5.647586635055826,Positive
150,X78,BMI,5.648719794163872,Negative
151,Z59,BMI,5.700066584727265,Negative
152,X28,BMI,5.647827876407155,Positive
153,X147,BMI,5.647654950435316,Negative
154,X69,BMI,5.6481937521850245,Negative
155,X90,BMI,5.647795766675201,Negative
156,X204,BMI,5.648444994630029,Negative
157,Z46,BMI,6.290153986774496,Positive
158,X143,BMI,5.647730699540293,Positive
159,X6,BMI,5.647578883112466,Negative
160,X188,BMI,5.6475976565082915,Negative
161,X178,BMI,5.6476780328735,Negative
162,X52,BMI,5.64803860351216,Positive
163,X192,BMI,5.649122291786078,Negative
164,X55,BMI,5.64768732474958,Positive
165,X203,BMI,5.647705220675647,Negative
166,X206,BMI,5.648773951419885,Negative
167,X7,BMI,5.648903033082358,Negative
168,Z58,BMI,5.875997631564739,Positive
169,Z79,BMI,6.292517089469855,Positive
170,Z67,BMI,5.693898112259315,Positive
171,X18,BMI,5.6476996197335705,Positive
172,X94,BMI,5.647729918819504,Negative
173,Z4,BMI,5.987437513894911,Negative
174,Z38,BMI,6.314136629221117,Positive
