,Feature1,Feature2
187,FUT3,PAM50Call_RNAseq
188,TMPRSS3,PAM50Call_RNAseq
189,IGJ,PAM50Call_RNAseq
190,VSIG2,PAM50Call_RNAseq
191,POF1B,PAM50Call_RNAseq
192,TPSG1,PAM50Call_RNAseq
193,HBA1,PAM50Call_RNAseq
194,TDRD1,PAM50Call_RNAseq
195,SLC26A3,PAM50Call_RNAseq
196,PLCH1,PAM50Call_RNAseq
197,MMP13,PAM50Call_RNAseq
198,AR,PAM50Call_RNAseq
199,DLX2,PAM50Call_RNAseq
200,SYNPO2L,PAM50Call_RNAseq
201,S100A2,PAM50Call_RNAseq
202,SBSN,PAM50Call_RNAseq
203,NTNG1,PAM50Call_RNAseq
204,PCDHA11,PAM50Call_RNAseq
205,HSD17B2,PAM50Call_RNAseq
206,ZNF385B,PAM50Call_RNAseq
207,ANKRD43,PAM50Call_RNAseq
208,NPY5R,PAM50Call_RNAseq
209,MAPK4,PAM50Call_RNAseq
210,PCDHA12,PAM50Call_RNAseq
211,FGG,PAM50Call_RNAseq
212,IYD,PAM50Call_RNAseq
213,CACNG4,PAM50Call_RNAseq
214,DCDC2,PAM50Call_RNAseq
215,EPYC,PAM50Call_RNAseq
216,CHI3L2,PAM50Call_RNAseq
217,TSIX,PAM50Call_RNAseq
218,PCDH10,PAM50Call_RNAseq
219,KCNG1,PAM50Call_RNAseq
220,HPX,PAM50Call_RNAseq
221,COL11A1,PAM50Call_RNAseq
222,CD177,PAM50Call_RNAseq
223,PCK1,PAM50Call_RNAseq
224,TLX1,PAM50Call_RNAseq
225,MMP7,PAM50Call_RNAseq
226,TTC36,PAM50Call_RNAseq
227,SEZ6L,PAM50Call_RNAseq
228,S100A1,PAM50Call_RNAseq
229,PART1,PAM50Call_RNAseq
230,GABBR2,PAM50Call_RNAseq
231,RET,PAM50Call_RNAseq
232,SLC15A1,PAM50Call_RNAseq
233,PLA2G2D,PAM50Call_RNAseq
234,SCRG1,PAM50Call_RNAseq
235,LGR6,PAM50Call_RNAseq
236,HOXC10,PAM50Call_RNAseq
237,SLC6A11,PAM50Call_RNAseq
238,RHCG,PAM50Call_RNAseq
239,MKRN3,PAM50Call_RNAseq
240,KCNF1,PAM50Call_RNAseq
241,MKX,PAM50Call_RNAseq
242,CHRDL1,PAM50Call_RNAseq
243,BCL11A,PAM50Call_RNAseq
244,PLA2G3,PAM50Call_RNAseq
245,FBN3,PAM50Call_RNAseq
246,NKX2-2,PAM50Call_RNAseq
247,CTNND2,PAM50Call_RNAseq
248,UGT8,PAM50Call_RNAseq
249,DOK7,PAM50Call_RNAseq
250,CECR2,PAM50Call_RNAseq
251,RASAL1,PAM50Call_RNAseq
252,TMEM40,PAM50Call_RNAseq
253,LOC389033,PAM50Call_RNAseq
254,LY6K,PAM50Call_RNAseq
255,CLGN,PAM50Call_RNAseq
256,NOVA1,PAM50Call_RNAseq
257,CCL18,PAM50Call_RNAseq
258,RBP4,PAM50Call_RNAseq
259,CD79A,PAM50Call_RNAseq
260,GRM4,PAM50Call_RNAseq
261,TPSD1,PAM50Call_RNAseq
262,C1orf106,PAM50Call_RNAseq
263,?|652919,PAM50Call_RNAseq
264,TNFSF12-TNFSF13,PAM50Call_RNAseq
265,AQP7,PAM50Call_RNAseq
266,PAH,PAM50Call_RNAseq
267,FLT3,PAM50Call_RNAseq
268,GPRIN2,PAM50Call_RNAseq
269,ADAMTS19,PAM50Call_RNAseq
270,IRX4,PAM50Call_RNAseq
271,CLSTN2,PAM50Call_RNAseq
272,B3GNT3,PAM50Call_RNAseq
273,PLIN5,PAM50Call_RNAseq
274,NMU,PAM50Call_RNAseq
275,SHC4,PAM50Call_RNAseq
276,PSAT1,PAM50Call_RNAseq
277,SLC1A1,PAM50Call_RNAseq
278,DLGAP1,PAM50Call_RNAseq
279,EMX1,PAM50Call_RNAseq
280,PCOLCE2,PAM50Call_RNAseq
281,ADAM6,PAM50Call_RNAseq
282,MAOB,PAM50Call_RNAseq
283,COL9A3,PAM50Call_RNAseq
284,IRX1,PAM50Call_RNAseq
285,LOC339535,PAM50Call_RNAseq
286,LOC84740,PAM50Call_RNAseq
287,CDH1,PAM50Call_RNAseq
288,ERBB2,PAM50Call_RNAseq
