,Feature1,Feature2
402,C10orf82,WDR72
403,C10orf82,WNK4
404,C16orf89,DARC
405,C16orf89,GJB1
406,C16orf89,HRASLS5
407,C16orf89,LOC642587
408,C16orf89,MAOB
409,C16orf89,NMU
410,C16orf89,PI15
411,C16orf89,PIK3C2G
412,C16orf89,PLIN5
413,C16orf89,SHISA9
414,C16orf89,THRSP
415,C16orf89,TTC36
416,C16orf89,VSIG2
417,C19orf33,CACNG4
418,C19orf33,DOK7
419,C19orf33,FAM83E
420,C19orf33,KRT13
421,C19orf33,PP14571
422,C19orf33,SLC28A3
423,C19orf33,SLC6A11
424,C19orf33,TLX1
425,C1orf106,GJB3
426,C1orf173,HRASLS5
427,C1orf173,MS4A8B
428,C1orf173,PLIN5
429,C1orf173,SPAG17
430,C1orf173,ZNF385B
431,C1orf64,ADAMTS15
432,C1orf64,BCAS1
433,C1orf64,C20orf114
434,C1orf64,CA9
435,C1orf64,DCDC2
436,C1orf64,ERBB4
437,C1orf64,GLYATL2
438,C1orf64,HPX
439,C1orf64,IGDCC3
440,C1orf64,KLHDC7A
441,C1orf64,PP14571
442,C1orf64,PSAT1
443,C1orf64,SCUBE2
444,C1orf64,SLC44A4
445,C1orf64,TPSD1
446,C1orf64,TPSG1
447,C1orf64,TTC36
448,C1orf64,WNK4
449,C20orf114,AGR2
450,C20orf114,BPIL1
451,C20orf114,C3orf57
452,C20orf114,CACNG4
453,C20orf114,CAPN8
454,C20orf114,CHAD
455,C20orf114,DKK1
456,C20orf114,FAM83E
457,C20orf114,MS4A8B
458,C20orf114,PSAT1
459,C20orf114,SERPINA5
460,C20orf114,SYNPO2L
461,C20orf114,TLX1
462,C20orf114,TMC5
463,C20orf114,TOX3
464,C20orf114,TRH
465,C20orf114,TRPV6
466,C20orf114,VSIG2
467,C20orf114,WFDC2
468,C2CD4A,AKR1B10
469,C2CD4A,AREG
470,C2CD4A,ATP13A4
471,C2CD4A,SCNN1G
472,C2CD4A,SLC1A1
473,C2CD4A,TRPV6
474,C2orf40,IRX1
475,C2orf40,IRX4
476,C2orf40,PAM50Call_RNAseq
477,C2orf40,PIK3C2G
478,C2orf40,TMEM132C
479,C2orf54,C1orf106
480,C2orf54,C2CD4A
481,C2orf54,CRYM
482,C2orf54,DLX2
483,C2orf54,ERBB2
484,C2orf54,FUT3
485,C2orf54,GLYATL2
486,C2orf54,KRT4
487,C2orf54,PAX7
488,C2orf54,PRODH
489,C2orf54,SHISA9
490,C2orf54,SLC7A4
491,C2orf54,SLC9A2
492,C2orf54,TMEM40
493,C2orf54,TMPRSS4
494,C3orf57,AREG
495,C3orf57,CACNG4
496,C3orf57,MMP13
497,C3orf57,PART1
498,C3orf57,SHISA2
499,C4orf7,BBOX1
500,C4orf7,BCL11A
501,C4orf7,CAPN6
502,C4orf7,CR2
503,C4orf7,DIO1
504,C4orf7,EDN3
505,C4orf7,FABP7
506,C4orf7,FGFBP1
507,C4orf7,LOC84740
508,C4orf7,MMP7
509,C4orf7,PPP1R14C
510,C4orf7,PROL1
511,C4orf7,SLC6A15
512,C7,ABCA8
513,C7,ADCY5
514,C7,CCL19
515,C7,CCL21
516,C7,CHRDL1
517,C7,DARC
518,C7,FLT3
519,C7,IGJ
520,C7,TMEM132C
521,C7,VIPR2
522,CA9,ABCA8
523,CA9,ADCY5
524,CA9,AFF3
525,CA9,BCAS1
526,CA9,CASP14
527,CA9,DACH1
528,CA9,DARC
529,CA9,FBN3
530,CA9,FLT3
531,CA9,FUT3
532,CA9,PP14571
533,CA9,PSAT1
534,CA9,S100A2
535,CA9,SBSN
536,CACNG4,CLSTN2
537,CACNG4,CTNND2
538,CACNG4,KCNF1
539,CACNG4,LOC84740
540,CACNG4,PART1
541,CALML3,COL17A1
542,CALML3,FAT2
543,CALML3,IRX4
544,CALML3,KRT13
545,CALML3,LOC642587
546,CALML3,MMP10
547,CALML5,AFF3
548,CALML5,ATP13A5
549,CALML5,CST9
550,CALML5,CXCL17
551,CALML5,DACH1
552,CALML5,FAM196A
553,CALML5,FAM5C
554,CALML5,FOXI1
555,CALML5,KRT81
556,CALML5,LCN2
557,CALML5,LRP2
558,CALML5,MUC5B
559,CALML5,NCCRP1
560,CALML5,PLCH1
561,CALML5,PSCA
562,CALML5,S100P
563,CALML5,SLC26A3
564,CALML5,SPDYC
565,CALML5,TDRD1
566,CAPN6,BCL11A
567,CAPN6,CHRDL1
568,CAPN6,DCX
569,CAPN6,FAT2
570,CAPN6,GSTA1
571,CAPN6,PI15
572,CAPN6,SCARA5
573,CAPN6,SYT8
574,CAPN6,TF
575,CAPN8,ADAMTS15
576,CAPN8,DOK7
577,CAPN8,F7
578,CAPN8,FGF10
579,CAPN8,MMP10
580,CAPN8,ONECUT2
581,CAPN8,PLCH1
582,CAPN8,SLC7A4
583,CAPN8,SYTL5
584,CAPN8,TMC5
585,CAPN8,TSPAN1
586,CARTPT,C1orf106
587,CARTPT,CHGB
588,CARTPT,CPLX2
589,CARTPT,PHGR1
590,CARTPT,SPAG6
591,CARTPT,ZNF385B
592,CASP14,AKR1B10
593,CASP14,FAM83A
594,CASP14,PAX7
595,CASP14,S100A8
596,CASP14,SLC13A2
597,CASP14,SLC7A4
598,CASP14,WT1
599,CBLN2,CTNND2
600,CBLN2,CXCL14
601,CBLN2,DLX2
602,CBLN2,LOC389033
603,CBLN2,MKX
604,CBLN2,ROBO2
605,CBLN2,SHISA2
606,CBLN2,SORCS1
607,CCL19,BCL11A
608,CCL19,CAPN6
609,CCL19,CCL21
610,CCL19,CD79A
611,CCL19,CHRDL1
612,CCL19,DARC
613,CCL19,MS4A1
614,CCL19,PLA2G2D
615,CCL19,TFPI2
616,CCL21,CHRDL1
617,CCL21,DARC
618,CCL21,DLK1
619,CCL21,IGJ
620,CCL21,SCARA5
621,CCNO,ZNF385B
622,CD177,OGN
623,CD79A,ADAM6
624,CD79A,FCRL5
625,CDC20B,CCNO
626,CDC20B,FOXJ1
627,CDC20B,MS4A8B
628,CEACAM5,BCAS1
629,CEACAM5,CAPN8
630,CEACAM5,CEACAM6
631,CEACAM5,CPA6
632,CEACAM5,CPLX2
633,CEACAM5,FBN3
634,CEACAM5,LRRC31
635,CEACAM5,PROM1
636,CEACAM5,S100P
637,CEACAM5,SDR16C5
638,CEACAM5,SYTL5
639,CEACAM5,TOX3
640,CEACAM5,TSPAN1
641,CEACAM6,BCAS1
642,CEACAM6,BPIL1
643,CEACAM6,CPA6
644,CEACAM6,CRYM
645,CEACAM6,CXCL17
646,CEACAM6,ERBB2
647,CEACAM6,FAM83E
648,CEACAM6,INSM1
649,CEACAM6,IYD
650,CEACAM6,S100P
651,CEACAM6,TOX3
652,CEACAM6,TSPAN1
653,CECR2,APOD
654,CECR2,SLC1A1
655,CGA,AQP5
656,CGA,ASCL1
657,CGA,BEX1
658,CGA,C19orf33
659,CGA,FAM196A
660,CGA,GATA4
661,CGA,GLDC
662,CGA,GRB14
663,CGA,MUC2
664,CGA,MYT1
665,CGA,NCRNA00052
666,CGA,PPP1R1A
667,CGA,PPP1R1B
668,CGA,PYDC1
669,CGA,RGS22
670,CGA,SEZ6L
671,CGA,SLC7A2
672,CHAD,AGTR1
673,CHAD,AKR7A3
674,CHAD,C1orf173
675,CHAD,CAPN8
676,CHAD,GABBR2
677,CHAD,HRASLS5
678,CHAD,LOC728606
679,CHAD,MKRN3
680,CHAD,NEK10
681,CHAD,PHGR1
682,CHAD,PLCH1
683,CHAD,SCGB3A1
684,CHAD,SDR16C5
685,CHAD,SLC44A4
686,CHAD,SLC7A4
687,CHAD,TPRG1
688,CHAD,TRH
689,CHAD,VIPR2
690,CHGA,CNTFR
691,CHGA,CPLX2
692,CHGA,PCSK1
693,CHGB,CHGA
694,CHGB,CPLX2
695,CHGB,GPR26
696,CHGB,PCSK1
697,CHGB,PHGR1
698,CHGB,SCGN
699,CHGB,VIPR2
700,CHI3L2,CTNND2
701,CHI3L2,NEURL
702,CHI3L2,PDZK1IP1
703,CHI3L2,PP14571
704,CHI3L2,S100A1
705,CHI3L2,SCRG1
706,CHI3L2,TOX3
707,CHIT1,ALOX15B
708,CHIT1,CCL18
709,CHIT1,MMP12
710,CHIT1,PLA2G2D
711,CHIT1,RBP4
712,CHRDL1,ABCA8
713,CHRDL1,AKR1C2
714,CHRDL1,PCOLCE2
715,CHRDL1,SCARA5
716,CHRDL1,TMEM132C
717,CHST8,C1orf173
718,CHST8,KCNF1
719,CHST8,LOC389033
720,CHST8,LRG1
721,CHST8,PPP4R4
722,CHST8,RET
723,CHST8,SYTL5
724,CHST8,TPSG1
725,CHST8,VIPR2
726,CHST8,ZNF385B
727,CIDEA,AKR1C2
728,CIDEA,AQP7
729,CIDEA,HP
730,CIDEA,PCK1
731,CIDEA,PPP1R1A
732,CIDEA,RBP4
733,CIDEA,TMEM132C
734,CIDEC,AQP7
735,CIDEC,CIDEA
736,CIDEC,CNTFR
737,CIDEC,GPD1
738,CIDEC,LEP
739,CIDEC,PCK1
740,CIDEC,PLIN1
741,CIDEC,RBP4
742,CIDEC,TMEM132C
743,CLCA2,ABCA12
744,CLCA2,AKR1B10
745,CLCA2,AKR1C2
746,CLCA2,ATP13A5
747,CLCA2,C2orf54
748,CLCA2,CALML3
749,CLCA2,CASP14
750,CLCA2,CCL21
751,CLCA2,DEFB1
752,CLCA2,IRX4
753,CLCA2,LPPR3
754,CLCA2,PIK3C2G
755,CLCA2,POF1B
756,CLCA2,PPP1R1A
757,CLCA2,PRODH
758,CLCA2,S100A7A
759,CLCA2,TRIM29
760,CLCA2,TRPV6
761,CLEC3A,CST5
762,CLEC3A,CYP2A6
763,CLEC3A,CYP2B7P1
764,CLEC3A,F7
765,CLEC3A,GJB1
766,CLEC3A,HMGCS2
767,CLEC3A,MYBPC1
768,CLEC3A,PIP
769,CLEC3A,SLC30A8
770,CLEC3A,TMPRSS6
771,CLEC3A,VIPR2
772,CLIC6,AREG
773,CLIC6,C16orf89
774,CLIC6,C1orf173
775,CLIC6,CXCL14
776,CLIC6,DCDC2
777,CLIC6,ELOVL2
778,CLIC6,HRASLS5
779,CLIC6,LOC642587
780,CLIC6,MAOB
781,CLIC6,MKX
782,CLIC6,MMP13
783,CLIC6,NAT1
784,CLIC6,NEK10
785,CLIC6,ONECUT2
786,CLIC6,SDR16C5
787,CLIC6,SLC1A1
788,CLIC6,SLC7A2
789,CLIC6,SPAG17
790,CLIC6,TMC5
791,CLIC6,WDR72
792,CLSTN2,COL9A3
793,CNTFR,AQP7
794,CNTFR,CECR2
795,CNTFR,CHRDL1
796,CNTFR,FBN3
797,CNTFR,HRASLS5
798,CNTFR,LGR6
799,CNTFR,PPP1R1A
800,CNTNAP2,ABCA12
801,CNTNAP2,C2orf54
802,CNTNAP2,CHI3L2
803,CNTNAP2,HORMAD1
804,CNTNAP2,HS6ST3
805,CNTNAP2,IYD
806,CNTNAP2,KCNF1
807,CNTNAP2,MIA
808,CNTNAP2,NCRNA00052
809,CNTNAP2,RASAL1
810,CNTNAP2,RET
811,CNTNAP2,ROPN1
812,CNTNAP2,SCRG1
813,COL11A1,CD177
814,COL11A1,MMP10
815,COL17A1,APOD
816,COL17A1,AREG
817,COL17A1,C2orf40
818,COL17A1,CCL21
819,COL17A1,FAT2
820,COL17A1,IGJ
821,COL17A1,LOC642587
822,COL17A1,MMP10
823,COL17A1,TMEM132C
824,COL2A1,ASCL1
825,COL2A1,C2CD4A
826,COL2A1,C2orf54
827,COL2A1,CTNND2
828,COL2A1,DLGAP1
829,COL2A1,FREM2
830,COL2A1,LBP
831,COL2A1,LRG1
832,COL2A1,LRRC31
833,COL2A1,LTF
834,COL2A1,PCSK1N
835,COL2A1,SCNN1G
836,COL2A1,SHC4
837,COL2A1,SLC1A1
838,COL2A1,WIF1
839,CP,AKR7A3
840,CP,B3GNT3
841,CP,CXCL17
842,CP,DACH1
843,CP,FGB
844,CP,FOLR1
845,CP,FUT3
846,CP,GLYATL2
847,CP,KRT23
848,CP,KRT81
849,CP,LBP
850,CP,MMP7
851,CP,MYT1
852,CP,NEURL
853,CP,PDZK1IP1
854,CP,PHGR1
855,CP,PIGR
856,CP,PROM1
857,CP,S100A9
858,CP,SLC28A3
859,CP,SLC6A14
860,CP,SMOC1
861,CP,VTCN1
862,CPA6,ADAMTS19
863,CPA6,CDH1
864,CPB1,AGTR1
865,CPB1,CGA
866,CPB1,CST5
867,CPB1,CST9
868,CPB1,CYP4B1
869,CPB1,DACH1
870,CPB1,GP2
871,CPB1,GRIA2
872,CPB1,KCNC2
873,CPB1,KCNJ3
874,CPB1,LRP2
875,CPB1,MYT1
876,CPB1,PHGR1
877,CPB1,PVALB
878,CPB1,RGS22
879,CPB1,RIMS4
880,CPB1,SCNN1G
881,CPB1,SLC30A8
882,CPB1,TSPAN1
883,CPB1,WFDC2
884,CPLX2,GRM4
885,CPLX2,PCSK1
886,CPLX2,SCGN
887,CR2,BCL11A
888,CR2,CD79A
889,CR2,MS4A1
890,CRABP1,BCL11A
891,CRABP1,CA9
892,CRABP1,FSIP1
893,CRABP1,GABBR2
894,CRABP1,HSD17B2
895,CRABP1,KRT23
896,CRABP1,LGR6
897,CRABP1,LY6K
898,CRABP1,PPP1R1B
899,CRABP1,ROPN1
900,CRABP1,SCRG1
901,CRABP1,SYT9
902,CRABP1,SYTL5
903,CRABP1,TRPV6
904,CRABP1,VGLL1
905,CRABP1,WT1
906,CRABP1,ZIC1
907,CRISP3,ABCA12
908,CRISP3,C2orf54
909,CRISP3,C3orf57
910,CRISP3,CASP14
911,CRISP3,CNTNAP2
912,CRISP3,FAM5C
913,CRISP3,FGB
914,CRISP3,GJB1
915,CRISP3,HGD
916,CRISP3,IYD
917,CRISP3,PSCA
918,CRISP3,SCGB2A1
919,CRISP3,SPDYC
920,CRISP3,TDRD1
921,CRISP3,THRSP
922,CST1,CD177
923,CST1,COL11A1
924,CST1,CST4
925,CST1,MMP10
926,CST4,ANKRD43
927,CST4,CRYM
928,CST4,HPX
929,CST4,PRODH
930,CST5,AGTR1
931,CST5,C2orf54
932,CST5,CARTPT
933,CST5,CST4
934,CST5,CYP2A7
935,CST5,EMX1
936,CST5,NELL2
937,CST5,PLCH1
938,CST5,RGS22
939,CST5,TMPRSS6
940,CST5,TPRG1
941,CST5,TRPV6
942,CST9,BEX1
943,CST9,BMPR1B
944,CST9,C19orf33
945,CST9,CST5
946,CST9,CXCL17
947,CST9,ELOVL2
948,CST9,FAM196A
949,CST9,FLJ45983
950,CST9,FUT3
951,CST9,IGDCC3
952,CST9,LPPR3
953,CST9,NEURL
954,CST9,NKAIN1
955,CST9,NOVA1
956,CST9,RASAL1
957,CST9,SCUBE2
958,CST9,SEZ6L
959,CST9,SYNPO2L
960,CST9,TPSG1
961,CST9,WNK4
962,CTNND2,GPRIN2
963,CTNND2,PAH
964,CXADRP3,LOC440905
965,CXCL13,ADAMTS19
966,CXCL13,CD79A
967,CXCL13,DACH1
968,CXCL13,MS4A1
969,CXCL13,PLA2G2D
970,CXCL13,TNFSF12-TNFSF13
971,CXCL14,LOC389033
972,CXCL14,MKX
973,CXCL14,OGN
974,CXCL17,AKR1B10
975,CXCL17,CACNG4
976,CXCL17,CRYM
977,CXCL17,FUT3
978,CXCL17,FUT6
979,CXCL17,IYD
980,CXCL17,NKAIN1
981,CXCL17,SLC13A2
982,CXCL17,SLC28A3
983,CXCL17,SLPI
984,CXCL17,SOX2
985,CXCL17,TDRD1
986,CXCL17,TSPAN8
987,CYP2A6,CARTPT
988,CYP2A6,CYP2A7
989,CYP2A6,KCNC2
990,CYP2A6,SPAG6
991,CYP2A6,WFDC2
992,CYP2B7P1,AGR3
993,CYP2B7P1,BCAS1
994,CYP2B7P1,CYP2A6
995,CYP2B7P1,CYP2A7
996,CYP2B7P1,DIO1
997,CYP2B7P1,ESR1
998,CYP2B7P1,F7
999,CYP2B7P1,FABP7
1000,CYP2B7P1,FLJ45983
1001,CYP2B7P1,FSIP1
1002,CYP2B7P1,GLYATL1
1003,CYP2B7P1,GRPR
1004,CYP2B7P1,HPX
1005,CYP2B7P1,IL20
1006,CYP2B7P1,MAPK4
1007,CYP2B7P1,NAT1
1008,CYP2B7P1,NEK10
1009,CYP2B7P1,NELL2
1010,CYP2B7P1,PKP1
1011,CYP2B7P1,RGS22
1012,CYP2B7P1,SERPINA11
1013,CYP2B7P1,SERPINA6
1014,CYP2B7P1,TMPRSS6
1015,CYP2B7P1,TPRG1
1016,CYP2B7P1,TTC36
1017,CYP2B7P1,TUBA3E
